Variable 1,Variable 2,Correlation,p-value
Bracing,treatment_6,0.24861147666377537,0.04249415268145403
Out of Plane,1960_treat_8,-0.24856361958807324,0.042535271469172485
ele 2 foundation displ,1960_treat_1,-0.24766322916233488,0.043315032275793516
ele 2 foundation displ,1960_treat_2,-0.24766322916233488,0.043315032275793516
Coat 1 Loss,treatment_6,0.2465176972484721,0.044324104343648564
PC deviation,treatment_5,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_10,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_11,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_12,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_13,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_14,-0.24536619879529953,0.04535787947947263
PC deviation,treatment_15,-0.24536619879529953,0.04535787947947263
Cap Deterioration,Structural Cracking,0.24328006042943828,0.04728127132056134
Lintel Deteriration,1960_treat_4,0.2425035178343287,0.048014127838106935
Sill 1,1960_treat_9,0.24198594483848312,0.04850774130301394
