block name,point 1,point 2,point 3,point 4,point 5,point 6,point 7,point 8,point 9
5707D,"2160.225920283534, -66.49728533168273","2160.225920291221, -36.03847648176989","2238.774144060017, -36.03847649196577","2238.7741440602695, -66.49728533103189","2160.225920283534, -66.49728531120844"
5707C,"1983.2386484841097, -66.49728533312592","1983.2386484821684, -36.038476488356395","2160.225920291221, -36.03847648176989","2160.225920283534, -66.49728533168273"
5707B,"1818.6186328563658, -66.49728533451322","1818.6186328563658, -36.21499265851921","1983.2386484821684, -36.038476488356395","1983.2386484824208, -66.49728533314921"
5720A,"1936.0438023443683, -36.089081838258714","1936.0438023822776, 320.5921798889622","1977.2570914562189, 321.5089417603886","1977.2570914790078, -36.038476488916785","1936.0438023443683, -36.089081838258714"
5718A,"1847.998029423437, 320.5921798952946","1847.998308392566, 358.2532577833373","1987.4867138224781, 358.2522245426232","1987.549061657543, 321.5264139972453","1847.998029423437, 320.5921798952946"
5716B,"1717.9880364235626, 32.368777482443534","1676.7747473087961, 32.36877748199731","1676.7747473098666, -66.4972853356885","1717.988036420788, -66.4972853356885","1717.9880364235626, 32.368777482443534"
5707A,"1818.6186328563658, -36.21499265851921","1717.9880364216378, -36.21499265569496","1717.9880364218886, -66.49728533534702","1818.6186328563658, -66.49728533451322","1818.6186328572157, -36.21499265851921"
5711A,"1164.933689299481, 319.7801962299501","1164.9339743207438, 358.2583174861717","1458.198518288862, 358.2583174861717","1458.1985182879298, 320.8450884060653","1164.933689299481, 319.7801962299501"
5715B,"1605.8379345810026, 30.388562109749742","1605.8379345826202, -65.37640719617775","1568.870863150105, -65.37640719617775","1568.870863150105, 30.388562109749756","1605.8379345810026, 30.388562110374153"
5708B,"1513.5267661359371, -65.21293168354173","1513.5745382919142, -38.23700294201673","1568.8708631499994, -38.23700294180168","1568.870863150105, -65.37640719617775"
5708A,"1296.9596755519328, -64.82940911797306","1296.9596755519328, -32.78456297491675","1344.5706594597145, -32.784562968687915","1344.5706594596945, -37.937710918849916","1513.5745382919556, -38.237002918678904","1513.5267661359433, -65.21293168354174"
5710A,"1307.612030979479, 16.852491705079032","1307.6120309835846, 56.824111738301696","1311.7333599106737, 56.8241117378784","1311.733359911605, 82.491562031777","1299.111152706328, 82.4915620401589","1299.1075208805516, 320.2674031820518","1344.57065946109, 320.4324872146071","1344.5706594532207, 16.852491709914275","1307.612030979479, 16.852491705079032"
5709A,"1172.783110127226, 64.60429422393429","1172.783110127226, 82.491562035502","1108.4610130410097, 82.49156203550189","1108.4610130407436, 63.50847130464311","1172.7831101272257, 63.50847130464311","1172.783110127226, 64.66429422393429"
5709B,"1172.783110127226, 82.491562035502","1311.733359911605, 82.491562031777","1311.7333599055287, 56.8241117378784","1172.7831101272257, 56.8241117378784","1172.783110127226, 82.491562035502"
5730A,"2615.0866599652313, 87.00940327389185","2763.4448802477077, 87.00940327389185","2763.4448802477077, 70.54257593546924","2615.0866599652313, 70.54257593546924"
5716A,"1717.9880364235626, 32.36877748885706","1676.7747473087961, 32.36877748841084","1676.7747472785245, 358.25532538576323","1717.9880364352232, 358.2553253840957","1717.9880364383437, 32.36877748885706","1676.7747473087961, 32.36877748452838"
5722A,"2215.00735094846, 321.6682494100258","2238.774144066012, 321.6682494100258","2238.774144066012, 42.432960279665906","2215.00735094846, 42.432960279665906"
5715A,"1568.870863148603, 320.8450884097217","1568.8711402596637, 358.25532538492934","1605.8379345721437, 358.25532538492945","1605.8379345721437, 30.38856211616327","1568.8708631497327, 30.3885621160195","1568.870863148603, 320.8450884097217"
5710B,"1344.5706594599078, 16.852491716327805","1307.612030979479, 16.85249171149256","1307.6120309792857, -32.784562968543895","1344.5706594597145, -32.784562968687794","1344.5706594532207, 16.852491716327805"
5735A,"369.4810130896269, -42.39719280078134","369.4810130900969, -64.37761364932457","388.46414021115584, -64.37761364932457","388.46414021115584, -4.054558245966575","369.481013089302, -4.054558245966554","369.48101309606386, -42.39719280078134"
5740A,"380.285903673956, 931.2243860642986","380.2859036744528, 882.7787030076631","398.769439373292, 882.7787030076631","398.7694393763709, 931.2243860642984","380.285903673956, 931.224386062846"
5740B,"380.2859036744535, 882.7787030076634","577.2546465623354, 882.7787030076634","577.2546465623354, 863.9456378407767","380.2859036744535, 863.9456378407767"
