Variable 1,Variable 2,Correlation,p-value,num_occurrences
foundation height,ele 2 foundation mortar condition,0.32951436781014076,0.0064705482167408375,67
Total Scr,1960_treat_13,-0.3262457111999842,0.0070529998842795505,67
Foundation Stone Deterioration,1960_treat_1,0.3245022075076289,0.007382095248457503,67
Foundation Stone Deterioration,1960_treat_2,0.3245022075076289,0.007382095248457503,67
Sill 1,1960_treat_6,0.32383753611656346,0.007511052657737018,67
ele 2 foundation displ,treatment_2,0.3220920600324167,0.00785914099897333,67
ele 1 foundation mortar condition,Foundation Stone Deterioration,0.3220006249360618,0.007877758015155245,67
Coat WGT SCR,1960_treat_7,-0.32158776691095825,0.007962300844464008,67
Coat 1 Cracking,1960_treat_7,-0.317536647327826,0.00883487337725864,67
ele 2 foundation mortar condition,1960_treat_1,0.31544258081654597,0.009317787129707327,67
ele 2 foundation mortar condition,1960_treat_2,0.31544258081654597,0.009317787129707327,67
fireplace,1960_treat_13,0.31305634217733397,0.009895971242174522,67
1960_treat_4,1960_treat_5,0.3103459193636247,0.010590342114177455,67
Sill 1,PC mean,-0.30787750892728316,0.011259145681036382,67
Coat WGT SCR,foundation height 2,-0.306898348172043,0.011534419257202583,67
Wall WGT SCR,1960_treat_13,-0.3040344716774239,0.012373284643599882,67
foundation_score_mina,1960_treat_13,-0.30403447152055046,0.012373284690958072,67
1960_treat_6,1960_treat_18,0.30082841879809347,0.013374503736359055,67
treatment_2,1960_treat_6,0.30082841879809336,0.013374503736359055,67
1960_treat_6,1960_treat_11,0.30082841879809336,0.013374503736359055,67
1960_treat_6,1960_treat_12,0.30082841879809336,0.013374503736359055,67
1960_treat_6,1960_treat_14,0.30082841879809336,0.013374503736359055,67
fireplace,1960_treat_10,0.3001047119997277,0.013609945740736745,67
Out of Plane,foundation height 2,-0.2982317308257857,0.014235947880076821,67
Lintel Deteriration,Height,-0.2965292139339894,0.014826345008421265,67
foundation height 2,1960_treat_18,-0.2964753140868075,0.014845375389172475,67
Coat 2 WGT SCR,Lintel Deteriration,-0.29574253808890866,0.015106188947089066,67
Sill 1,fireplace,0.2946717866078727,0.01549437925785566,67
PC mean,1960_treat_5,-0.29454771297646115,0.015539910374085652,67
foundation height,1960_treat_10,-0.2937504645757274,0.01583522743831038,67
Structural Cracking,Cracking Wall Junction,0.29186341963420964,0.016553496351496597,67
Sill 1,1960_treat_5,0.29119456230508795,0.016814705977006877,67
SILL 2,1960_treat_7,0.28637220811301195,0.018804666814507032,67
Height,Bracing,0.2859629633103739,0.018982439907261544,67
Wall Rank,1960_treat_13,0.2854456299358886,0.019209217999879204,67
Out of Plane,PC mean,0.285311096135491,0.019268569686788754,67
PC mean,treatment_2,-0.28463009233316383,0.019571412240409005,67
treatment_9,1960_treat_13,0.2839372243904292,0.019883688550610845,67
1960_treat_13,1960_treat_17,0.2839372243904292,0.019883688550610845,67
1960_treat_13,1960_treat_19,0.2839372243904292,0.019883688550610845,67
Coat 2 WGT SCR,1960_treat_21,0.28327219001015846,0.02018740596439189,67
Coat 2 WGT SCR,1960_treat_17,0.2801777869148641,0.021653124275690813,67
Cracking Wall Junction,1960_treat_19,0.279217544499763,0.02212596120662777,67
fireplace,foundation height,-0.279152262228113,0.022158423073842467,67
1960_treat_8,1960_treat_21,0.27773186030035385,0.022874804261013244,67
1960_treat_8,1960_treat_15,0.2777318603003538,0.022874804261013244,67
SILL 2,1960_treat_18,0.27725417900266913,0.023120096721547804,67
Wall Rank,1960_treat_11,0.27719836862001257,0.023148900720309996,67
Wall Rank,1960_treat_12,0.27719836862001257,0.023148900720309996,67
Wall Rank,1960_treat_14,0.27719836862001257,0.023148900720309996,67
fireplace,treatment_20,0.2771963844956965,0.023149925296049544,67
Bracing,foundation_score_mina,0.27679236332632207,0.023359359299587625,67
Bracing,Wall WGT SCR,0.2767923632576825,0.023359359335304496,67
Bracing,Wall Rank,-0.275458506688359,0.02406223727233798,67
fireplace,ele 2 foundation mortar condition,-0.274390357133534,0.0246379384907932,67
Lintel Deteriration,1960_treat_7,-0.27302969521272163,0.025388135066759084,67
Coat 1 Cracking,1960_treat_1,-0.2691315323432849,0.027645048734433405,67
Coat 1 Cracking,1960_treat_2,-0.2691315323432849,0.027645048734433405,67
fireplace,1960_treat_18,0.2689890440069412,0.027730647189665423,67
Bracing,treatment_5,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_10,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_11,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_12,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_13,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_14,0.2689008968145928,0.02778371241236687,67
Bracing,treatment_15,0.2689008968145928,0.02778371241236687,67
treatment_5,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_10,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_11,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_12,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_13,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_14,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_15,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_16,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_17,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_18,1960_treat_5,0.2689008968145928,0.02778371241236687,67
treatment_19,1960_treat_5,0.2689008968145928,0.02778371241236687,67
1960_treat_5,1960_treat_11,0.2689008968145928,0.02778371241236687,67
1960_treat_5,1960_treat_12,0.2689008968145928,0.02778371241236687,67
1960_treat_5,1960_treat_14,0.2689008968145928,0.02778371241236687,67
1960_treat_5,1960_treat_17,0.2689008968145928,0.02778371241236687,67
treatment_9,1960_treat_5,0.2689008968145927,0.02778371241236687,67
PC deviation,Total Scr,-0.2677129106729977,0.028507270948606965,67
PC mean,1960_treat_16,0.2673815759234001,0.028711879026615754,67
Bracing score,treatment_3,0.2672122961028908,0.028816889623361493,67
Bracing,Total Scr,0.26488154890700255,0.0302958821981069,67
PC mean,1960_treat_1,-0.2629653999302974,0.03155901732897203,67
PC mean,1960_treat_2,-0.2629653999302974,0.03155901732897203,67
foundation height,1960_treat_19,0.2629621608225515,0.031561189345982114,67
Coat2 Loss,1960_treat_17,0.2626887744045475,0.03174496324310082,67
PC mean,1960_treat_6,-0.26267076400232114,0.0317571014655313,67
ele 2 foundation mortar condition,Foundation Stone Deterioration,0.26129722001321876,0.03269432971341478,67
PC mean,1960_treat_9,-0.25907487063159607,0.03425967740725376,67
Coat2 Loss,Foundation Stone Deterioration,0.2588924020116828,0.03439093459948616,67
Cracking Wall Junction,Wall Rank,-0.25886338245031754,0.03441184819049831,67
Height,Foundation Stone Deterioration,0.258690000252233,0.03453702114989039,67
Lintel Deteriration,1960_treat_5,0.2574369709107521,0.03545298250581554,67
Coat 1 Loss,foundation height 2,-0.2573572641079519,0.03551192631878816,67
ele 2 foundation mortar condition,1960_treat_10,-0.25624403657022465,0.03634373699995601,67
Coat WGT SCR,1960_treat_9,-0.2543244738442912,0.03781612006294432,67
foundation height,ele 2 foundation displ,0.2542067112986922,0.03790803898493597,67
foundation height,Bracing,0.2530611357010748,0.03881193416352559,67
Structural Cracking,Lintel Deteriration,-0.25301937623564297,0.038845218609231305,67
ele 1 foundation mortar condition,1960_treat_10,-0.2527462149053766,0.03906352689131757,67
Coat2 Loss,1960_treat_21,0.25257149387990624,0.039203695404968854,67
Lintel Deteriration,1960_treat_9,-0.2524789482589747,0.039278108192807415,67
ele 1 foundation mortar condition,ele 2 foundation mortar condition,0.2524692262263559,0.03928593214267269,67
Cracking Wall Junction,Total Scr,0.2524511961858813,0.039300445505870606,67
Coat 2 WGT SCR,PC mean,0.251420473143542,0.04013755355029058,67
Structural Cracking,Out of Plane,0.25125314068388793,0.040274837205942576,67
treatment_3,treatment_6,0.25004133256207456,0.04128068382846488,67
Coat 1 Cracking,foundation height 2,-0.24995090991599203,0.04135656380553694,67
foundation height 2,treatment_9,0.24909848486944,0.04207757944976536,67
Sill 1,1960_treat_7,0.24885941697838046,0.04228164777573551,67
ele 1 foundation mortar condition,1960_treat_1,0.24868903873179857,0.04242758110190704,67
ele 1 foundation mortar condition,1960_treat_2,0.24868903873179857,0.04242758110190704,67
Bracing,treatment_6,0.24861147666377537,0.04249415268145403,67
Out of Plane,1960_treat_8,-0.24856361958807321,0.042535271469172485,67
PC deviation,Wall Rank,0.24779084323109163,0.04320380307915278,67
ele 1 foundation mortar condition,PC deviation,0.24749063195979262,0.04346584486712639,67
ele 2 foundation mortar condition,1960_treat_7,-0.24684875871024237,0.04403050931230207,67
Coat 1 Loss,treatment_6,0.24651769724847208,0.044324104343648564,67
PC deviation,treatment_5,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_10,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_11,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_12,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_13,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_14,-0.24536619879529947,0.04535787947947263,67
PC deviation,treatment_15,-0.24536619879529947,0.04535787947947263,67
Cap Deterioration,Structural Cracking,0.2432800604294383,0.04728127132056134,67
Cracking Wall Junction,foundation height 2,0.24271259766022465,0.04781589921349708,67
Lintel Deteriration,1960_treat_4,0.2425035178343287,0.048014127838106935,67
Sill 1,1960_treat_9,0.2419859448384832,0.04850774130301394,67
Lintel Deteriration,foundation height 2,-0.2416238944859615,0.04885549960926491,67
